(20556, 446, )
(47027, 403, )
(10866, 415, )
(46642, 418, )
(22146, 421, )
(44759, 426, )
(24362, 44, )
(18703, 412, )
(51799, 414, )
(45938, 232, )
(91560, 433, )
(17869, 409, )
(80421, 44, )
(97304, 403, )
(45839, 444, )
(89331, 427, )
(21602, 44, )
(27202, 45, )
(59138, 44, )
(99222, 215, )
(97280, 2, 5742, 6284, 5175, 5184, 5009, 6068)
(55745, 204, )
(86622, 401, )
(58919, 44, )
(101096, 439, )
(74953, 37, 6908)
(36597, 44, )
(108644, 46, )
(16422, 443, )
(83330, 416, )
(37437, 445, )
(101339, 425, )
(20209, 422, )
(56908, 420, )
(14988, 443, )
(85510, 415, )
(87202, 421, )
(77248, 436, )
(90127, 413, )
(17586, 44, )
(42132, 230, )
(43344, 415, )
(40962, 419, )
(19607, 222, )
(101485, 429, )
(17383, 45, )
(19742, 44, )
(107878, 420, )
(59708, 44, )
(102757, 440, )
(83338, 409, )
(50312, 49, )
(98442, 44, )
(67024, 44, )
(66341, 408, )
(38913, 229, )
(76492, 436, )
(90088, 44, )
(93063, 420, )
(88484, 5, 5658, 5181, 6288)
(81528, 44, )
(36858, 1, 6629, 5481, 5574, 6200, 5542, 6908)
(67753, 430, )
(75527, 415, )
(70426, 431, )
(103112, 428, )
(25565, 422, )
(42492, 408, )
(16547, 433, )
(21842, 48, )
(21636, 439, )
(87978, 44, )
(84362, 44, )
(102724, 445, )
(109015, 402, )
(35738, 442, )
(78970, 216, )
(57292, 49, )
(29450, 11, 5507, 6058, 6892, 5453, 5608, 5184)
(12772, 417, )
(36531, 437, )
(50395, 205, )
(29215, 412, )
(12715, 426, )
(71930, 444, )
(88820, 408, )
(32246, 443, )
(67971, 414, )
(46069, 411, )
(75859, 441, )
(66960, 3, 6369, 6970, 6081, 5489, 6225)
(59582, 406, )
(65866, 48, )
(102159, 430, )
(57989, 432, )
(13330, 44, )
(65153, 45, )
(86171, 408, )
(79748, 412, )
(82358, 45, )
(100656, 44, )
(36528, 448, )
(73442, 406, )
(71399, 444, )
(63577, 447, )
(72334, 436, )
(57442, 428, )
(85759, 436, )
(38560, 428, )
(63343, 446, )
(41296, 406, )
(11193, 44, )
(57496, 416, )
(41030, 420, )
(80905, 438, )
(65291, 44, )
(61108, 44, )
(88958, 435, )
(19941, 429, )
(42772, 44, )
(17673, 413, )
(51532, 401, )
(52644, 402, )
(82475, 419, )
(34139, 429, )
(42907, 420, )
(49471, 402, )
(56648, 44, )
(45815, 404, )
(102548, 44, )
(36805, 414, )
(86512, 433, )
(53644, 425, )
(25418, 440, )
(87592, 402, )
(75809, 434, )
(75957, 404, )
(95411, 44, )
(78839, 432, )
(31275, 430, )
(13410, 4, 6361, 6892, 5453, 5885, 5774)
(31251, 443, )
(28748, 3, 5114, 6430, 5034, 5660)
(25079, 44, )
(73032, 441, )
(96677, 44, )
(87828, 48, )
(71209, 417, )
(93434, 227, )
(104061, 425, )
(70385, 438, )
(84007, 238, )
(98723, 223, )
(51446, 441, )
(33214, 407, )
(108233, 414, )
(74450, 436, )
(39761, 406, )
(24417, 409, )
(22189, 44, )
(36419, 413, )
(11687, 422, )
(109571, 418, )
(56865, 44, )
(107435, 39, 6200)
(73179, 434, )
(81400, 437, )
(97594, 405, )
(44094, 409, )
(14661, 440, )
(107439, 240, )
(59472, 445, )
(83778, 212, )
(30269, 421, )
(81504, 418, )
(46089, 410, )
(50960, 47, )
(17910, 44, )
(109218, 442, )
(72161, 44, )
(29403, 18, 6502, 6566, 6997)
(30769, 447, )
(88628, 2, 6706, 5857, 5691, 5078, 6830)
(91968, 405, )
(91286, 421, )
(92474, 429, )
(70622, 44, )
(79035, 413, )
(92251, 435, )
(108689, 407, )
(102445, 427, )
